verdate,piktkt,pikdate,order,entered,custpo,account,store,dcno,stname,staddr1,staddr2,stcity,ststate,stzip,stcountry,btname,btaddr1,btaddr2,btcity,btstate,btzip,btcountry,start,complete,shipcode,shipdesc,terms,termsdesc,dept,vendorno,salesrep1,salesrep2,apprvlcd,notes,upc,style,styledesc,sizescale,size,sizenum,color,colordesc,ordqty,pikqty,price
"01/31/2018","808322",07/15/2018,"109569",05/25/2018,"108","SEV01","03","","UNISERVE GROUP - SELF SERVICE LTD","LONDON MEGA TERMINAL","THURROCK PARK WAY","ESSEX","","RM18 7HD","","SELF SERVICE LTD","25 HARCOURT ST","","LONDON","","W1H4HN","UNITED KINGDOM",07/07/2018,07/15/2018,"FF","FREIGHT FORWARD","WT","WIRE TRANSFER","","","000","","","","846888109172","WCS617401","ZIPPERS - LEGGINGS","A","XS",1,"MBLK","  -METAL BLACK",12,12,44.00
"01/31/2018","808322",07/15/2018,"109569",05/25/2018,"108","SEV01","03","","UNISERVE GROUP - SELF SERVICE LTD","LONDON MEGA TERMINAL","THURROCK PARK WAY","ESSEX","","RM18 7HD","","SELF SERVICE LTD","25 HARCOURT ST","","LONDON","","W1H4HN","UNITED KINGDOM",07/07/2018,07/15/2018,"FF","FREIGHT FORWARD","WT","WIRE TRANSFER","","","000","","","","846888109189","WCS617401","ZIPPERS - LEGGINGS","A","S",2,"MBLK","  -METAL BLACK",15,15,44.00
"01/31/2018","808322",07/15/2018,"109569",05/25/2018,"108","SEV01","03","","UNISERVE GROUP - SELF SERVICE LTD","LONDON MEGA TERMINAL","THURROCK PARK WAY","ESSEX","","RM18 7HD","","SELF SERVICE LTD","25 HARCOURT ST","","LONDON","","W1H4HN","UNITED KINGDOM",07/07/2018,07/15/2018,"FF","FREIGHT FORWARD","WT","WIRE TRANSFER","","","000","","","","846888109196","WCS617401","ZIPPERS - LEGGINGS","A","M",3,"MBLK","  -METAL BLACK",15,15,44.00
"01/31/2018","808322",07/15/2018,"109569",05/25/2018,"108","SEV01","03","","UNISERVE GROUP - SELF SERVICE LTD","LONDON MEGA TERMINAL","THURROCK PARK WAY","ESSEX","","RM18 7HD","","SELF SERVICE LTD","25 HARCOURT ST","","LONDON","","W1H4HN","UNITED KINGDOM",07/07/2018,07/15/2018,"FF","FREIGHT FORWARD","WT","WIRE TRANSFER","","","000","","","","846888109202","WCS617401","ZIPPERS - LEGGINGS","A","L",4,"MBLK","  -METAL BLACK",8,8,44.00
